,de,en,es,fr,pl
4653,"Herr Belder weiß, daß der Ausschuß und ich gewünscht hätten, die Spezifik der jeweiligen Probleme in den Bewerberländern direkter zu benennen.",Mr Belder knows that I and the committee wished to quote the specifics of individual problems in candidate countries.,Y ése es un punto absolutamente clave para los próximos meses.,"C' est pourquoi j' incite notre Assemblée à voter les amendements déposés par notre rapporteur et, ce faisant, à s' exprimer contre la position de la commission de l' environnement, de la santé publique et de la politique des consommateurs.","W tej sytuacji, gdy Unia tak zabiega o bezpośredni kontakt z obywatelem i gdy ma wpisaną do traktatu lizbońskiego politykę dobrego sąsiedztwa, podnoszenie cen wiz to bolesny paradoks."
4654,"Einige Änderungsanträge von Frau Ludford versuchen, dies zu korrigieren. Ich werde sie daher unterstützen.",A number of proposed amendments by Baroness Ludford attempt to rectify this and I shall support them.,"Por último, señora Presidenta, Señorías, una reflexión muy breve: el informe sobre los progresos de la ampliación ha sido importante porque refleja cómo se van superando los problemas y cómo hay que mantener esa voluntad con los países con los que estamos negociando.",On marche sur la tête.,"Decyzja o podwyżce opłat wizowych jest także doskonałym prezentem dla Łukaszenki, który mówi, że na Białorusinów nikt w Europie nie czeka."
4655,Zu allgemein scheint mir die Behandlung der sozialen Ursachen von Rassismus in den Bewerberländern und der äußerst bedeutsamen sozialen und beschäftigungspolitischen Konsequenzen einer konsequent antirassistischen Politik.,The way in which the social causes of racism in candidate countries and the highly significant social and employment policy consequences of a consistent anti-racist policy have been dealt with appears to me to be too general.,"Creo que también sería importante que la Comisión, en relación con los Balcanes, tenga en cuenta que hay un país que se puede convertir en un puente -después de haber sido una barrera- hacia los Balcanes que es Croacia.","Dans une Europe qui clame sa volonté de protéger le consommateur, qui parle labels de qualité et authenticité, nous voilà face à une position commune du Conseil qui préfère dénaturer un produit jusqu' ici de qualité, le chocolat, plutôt que de froisser les multinationales de l' agroalimentaire.",Koleżanki! Koledzy!
4656,"Daß Herr Belder bereit war, die Frage von Antisemitismus deutlich anzusprechen, gehört zu den wichtigsten Ergebnissen des Diskussionsprozesses. Auch hierfür, Herr Belder, meinen Dank.",The fact that Mr Belder was prepared to clearly address the question of antisemitism is one of the most important results of the discussion process and I again extend my thanks to Mr Belder.,"Después del cambio político que se ha producido, haría falta que la Comisión intensificara las negociaciones del acuerdo de asociación con Croacia.","Doit-on s' en étonner d' ailleurs, puisque cette même Europe produit des vaches folles, des moutons tremblants, des poulets à la dioxine, importe de la viande aux hormones et des céréales génétiquement modifiées.","Zmieńmy to. Apeluję o podjęcie wszelkich kroków, które zmierzają do obniżenia ceny wiz dla obywateli Białorusi."
4657,"Wenn man die verschiedenen Stellungnahmen der Kommission, des Parlaments, des Europarates, der Wiener Beobachtungsstelle durchsieht, so fällt auf, daß sich der Antisemitismus als eine besondere und besonders gefährliche Form des Rassismus in vielen Überschriften findet, aber auch nur in den Überschriften.","Leafing through the various positions of the Commission, the European Parliament, the Council of Europe and the Vienna Monitoring Centre, one is struck by the fact that antisemitism is quoted as a particular and particularly dangerous form of racism in several headlines, but only in the headlines.","Y por último, quiero decir algunas palabras sobre Oriente Medio.","Certes, on ""informe"" le consommateur que le produit qu' il achète est frelaté. Mais quelle hypocrisie !",Panie przewodniczący! Jedną z głównych zasad powszechnie szanowanych w Unii Europejskiej jest zasada niedyskryminowania.
4658,Analyseneinschätzung und spezielle Programme zu seiner Bekämpfung fehlen fast vollständig.,There is almost a total lack of analytical appraisal or special programmes to combat it.,Acabo de volver de una visita a Siria y el Líbano y saludo que el Presidente de la Comisión esté en este momento allí.,"Quelle information ! En caractères minuscules, dans un langage incompréhensible, au dos des emballages.",W wielu dokumentach zwraca się także uwagę na potrzebę szczególnej ochrony osób niepełnosprawnych.
4659,"Für die Programme der Kommission in den Bewerberländern, Herr Kommissar, muß man das ""fast "" sogar weglassen.","And as far as the Commission programmes in the candidate countries are concerned, Commissioner, the word ""almost"" can be dispensed with.","Concuerdo con que la retirada israelí del sur del Líbano es muy importante y hay que apoyar a Barak, pero también hay que intensificar nuestras relaciones de asociación con Siria y el Líbano.","Vous avez l' habitude de faire n' importe quoi au nom de vos dogmes, de la libre circulation, de la libre concurrence, du libre échange.","Doceniana jest też społeczna rola sportu, także integracyjna."
4660,Ich halte das für ein nicht zu akzeptierendes Versäumnis und wende mich in dieser Frage speziell an Sie.,I consider this an unacceptable oversight and I therefore refer this question to you specifically.,"Hay que contar con una política activa europea para contribuir a resolver el problema dramático de los refugiados palestinos, y podemos aportar activamente ideas y medios para conseguir que el proceso de paz en Oriente Medio dé un paso decisivo, lo cual también llevaría consigo una mayor apertura e intensificación del proceso euromediterráneo.","De grâce, ne faites plus n' importe quoi avec nos traditions gastronomiques, nos produits de qualité ou du terroir.","W niektórych krajach Unii pojawiają się przepisy o pomocy socjalnej dla sportowców i byłych sportowców, w szczególności olimpijczyków w trudnej sytuacji materialnej."
4661,"Antisemitismus ist ohne Zweifel weit verbreitet, existiert oft latent, was die Auseinandersetzung schwierig macht.","Antisemitism is, without doubt, widespread; often it is latent, which complicates the issue.",Todos esos elementos están en la agenda y espero que el Consejo Europeo de Feira dé un paso adelante.,Ne jouez plus avec l' alimentation.,To oczywiście dobrze.
4662,"Wir haben heute am Vormittag in diesem Parlament eine seiner widerlichsten Formen erlebt, als die uralte Behauptung wiederholt wurde, die Juden seien am Antisemitismus selbst schuld.","This morning in this House we were witness to one of its most repulsive forms, when the age-old assertion that the Jews themselves are responsible for antisemitism was repeated.","Señor Presidente, en ausencia del Sr. Graefe zu Baringdorf y a petición suya, intervengo en nombre de la Comisión de Agricultura.","Cela, ce sera un véritable progrès.",Trudno jednak zaakceptować fakt pomijania w tych rozwiązaniach sportowców niepełnosprawnych.
4663,"Die Auseinandersetzung damit sollte für uns und die Kommission eine eigenständige und sehr, sehr konkrete Aufgabe sein!","This debate should therefore be a separate and very, very specific task for us and the Commission.",La producción de frutos secos en la Unión Europea se realiza mayoritariamente en zonas áridas y de fuertes pendientes en condiciones de secano.,"Vous l' aurez compris : mes collègues de la coordination des droites européennes et moi-même voterons pour ""l' option zéro"", zéro matières grasses végétales autres que le beurre de cacao dans le chocolat.","Efektywność użytkowania energii pierwotnej zależy od poprawy efektywności konwersji energii pierwotnej w elektryczną, od wprowadzenia standardów minimalnego zużycia końcowego energii, od szeroko prowadzonej termomodernizacji budynków, od szerokiego zastosowania kogeneracji poprzez usuwanie barier administracyjnych, od zmniejszania strat przesyłu energii, od zmniejszania strat tarcia."
4664,"Frau Präsidentin! Meine Damen und Herren! Wenn man sich einen Rest von unvoreingenommener Betrachtungsweise bewahrt, dann kann man feststellen, daß es in der breiten Mitte dieses Parlaments mit Gewißheit keine Spur von Rassismus gibt.","Madam President, even to a slightly unprejudiced eye, there is clearly no trace of racism down the broad middle of this House.",Estas producciones representan una protección contra la erosión y la desertización y ejercen la función de barreras cortafuegos.,L'eussiez-vous cru ?,"W sprawozdaniu dostrzega się również wymiar globalny problemu, a w tym kwestię konieczności ograniczenia emisji gazów cieplarnianych."
4665,"Wenngleich wohl über einen Rassismus-Bericht in diesem Parlament gestritten wird, dann liegt es nicht am Rassismus im Parlament, sondern eher an dem Bericht.","Even if we disagree on a report on racism, the reasons lie not in racism in Parliament but in the report itself.","Tienen una importancia fundamental como fuente de renta complementaria, clave para el mantenimiento de un buen número de explotaciones en el medio rural de zonas desfavorecidas.","Plus de vingt-cinq ans après le premier débat du Parlement européen sur le chocolat, je suis de nouveau mêlée à une discussion sur la grande question de savoir si un produit peut être appelé chocolat lorsqu'il n'est pas fabriqué exclusivement à partir de beurre de cacao.","Mieszkalnictwo pochłania około 40% całkowicie użytkowanej energii, zaś termomodernizacja oznacza zmniejszenie jej użytkowania co najmniej o połowę, co stanowi 20% energii całkowicie użytkowanej."
